Ticker,Company Name,Exchange,Market Cap ($M),Cash ($M),Qtrly Burn ($M),52W High ($),52W Low ($),Share Price ($),Shares Out (M),Country,Website,Description,Is_ADR,Therapy Area,Sub_Indication,Modality,Lead_Asset,Dev_Stage,Next_Catalyst,Catalyst_Type,Partners,Trial_Count
ABOS,"Acumen Pharmaceuticals, Inc.",NASDAQ,198.1,126.6,31.2,3.5,0.85,3.27,60.6,United States,https://acumenpharm.com,"Acumen Pharmaceuticals, Inc., a clinical-stage biopharmaceutical company, develops targeted therapies for the treatment of Alzheimer's disease. The company focuses on advancing a targeted immunotherapy drug candidate Sabirnetug (ACU193), a recombinant humanized immunoglobulin gamma 2, which has comp",False,,,,,,,,,0
ACRS,"Aclaris Therapeutics, Inc.",NASDAQ,428.6,90.8,12.0,4.89,1.05,3.54,121.1,United States,https://www.aclaristx.com,"Aclaris Therapeutics, Inc., a clinical-stage biopharmaceutical company, engages in the discovering and developing novel molecule product candidates for immuno-inflammatory diseases in the United States. The company product pipeline includes Bosakitug (ATI-045), an anti-thymic stromal lymphopoietin m",False,Other,Seborrheic Keratosis,Small Molecule,A-101 Solution,Phase 3,,,,31
ADMA,"ADMA Biologics, Inc.",NGM,3608.1,87.6,0.0,25.67,13.76,15.15,238.2,United States,https://www.admabiologics.com,"ADMA Biologics, Inc., a biopharmaceutical company, develops, manufactures, and markets specialty plasma-derived biologics for the treatment of immune deficiencies and infectious diseases in the United States and internationally. The company operates through ADMA BioManufacturing and Plasma Collectio",False,Other,Primary Immune Deficiency Disorders (PIDD),Monoclonal Ab (mAb),Nabi-IGIV 10% [Immune Globulin Intravenous (Human). 10%],Phase 3,,,,4
ADPT,Adaptive Biotechnologies Corporation,NASDAQ,2027.9,227.0,2.5,20.76,6.67,13.17,154.0,United States,https://www.adaptivebiotech.com,"Adaptive Biotechnologies Corporation, a commercial-stage company, develops an immune medicine platform for the diagnosis and treatment of various diseases. The company offers immunosequencing platform which combines a suite of proprietary chemistry, computational biology, and machine learning to gen",False,,,,,,,,,0
AGEN,Agenus Inc.,NASDAQ,112.0,3.5,17.5,7.34,1.38,3.1,36.1,United States,https://www.agenusbio.com,"Agenus Inc., a clinical-stage biotechnology company, discovers and develops therapies to activate the body's immune system against cancer and infections in the United States and internationally. It offers Retrocyte Display, an antibody expression platform for the identification of fully human and hu",False,Oncology,Resectable MMR-deficient Solid Tumors; Resectable MMR-profic,Small Molecule,botensilimab,Phase 3,,,,42
AGIO,"Agios Pharmaceuticals, Inc.",NASDAQ,1631.8,854.4,92.2,46.0,22.24,27.85,58.6,United States,https://www.agios.com,"Agios Pharmaceuticals, Inc., a biopharmaceutical company, discovers and develops medicines in the field of cellular metabolism in the United States. Its lead product includes PYRUKYND (mitapivat), an activator of wild-type and mutant pyruvate kinase (PK), enzymes used for the treatment of hemolytic ",False,Rare Disease,Transfusion-dependent Alpha-Thalassemia; Transfusion-depende,Small Molecule,Placebo Matching Mitapivat,Phase 3,,,,50
AGMB,AgomAb Therapeutics NV,NASDAQ,681.7,171.5,12.4,17.45,12.66,13.85,49.2,Belgium,https://agomab.com,"AgomAb Therapeutics NV, a clinical-stage biopharmaceutical company, develops novel disease-modifying therapies for immunology and inflammatory diseases with a focus on chronic fibrotic indications with unmet medical needs. The company's product pipeline includes Ontunisertib (AGMB-129), an oral gast",True,Immunology,Fibrostenotic Crohn's Disease,Small Molecule,AGMB-129,Phase 2,,,,6
AKBA,"Akebia Therapeutics, Inc.",NASDAQ,391.1,184.8,0.0,4.08,1.14,1.46,267.9,United States,https://www.akebia.com,"Akebia Therapeutics, Inc., a biopharmaceutical company, focuses on the development and commercialization of therapeutics for patients with kidney diseases. Its product portfolio includes Vafseo (vadadustat), an oral hypoxia-inducible factor prolyl hydroxylase, for the treatment of anemia due to chro",False,Other,Anemia,Small Molecule,Vadadustat,Phase 3,,,,4
ALDX,"Aldeyra Therapeutics, Inc.",NASDAQ,248.3,70.0,6.2,7.01,1.14,4.12,60.2,United States,https://www.aldeyra.com,"Aldeyra Therapeutics, Inc., a biotechnology company, discovers and develops therapies designed to treat immune-mediated diseases. Its lead product candidate is reproxalap, a reactive aldehyde species (RASP) modulator, which is in Phase III clinical trial for the treatment of dry eye disease and alle",False,Other,Dry Eye Disease,Small Molecule,Reproxalap ophthalmic solution (0.25%),Phase 3,,,,34
ALEC,"Alector, Inc.",NASDAQ,242.8,256.0,37.1,3.4,0.87,2.2,110.4,United States,https://www.alector.com,"Alector, Inc., a clinical stage biotechnology company, develops therapies to counteract the progression of neurodegeneration in the United States. Its pipeline includes Nivisnebart, an investigational human recombinant monoclonal antibody for treating prevalent neurodegenerative diseases; AL137, an ",False,CNS,Alzheimer's Disease,Small Molecule,GSK4527226,Phase 2,,,,8
